"","PeriodYear","BirdID","D_dam","D_sire","GenCont_Focal","GenContDam","helpers","GenContSire","FSL","FDL","FFL","RainWindow","RainVar","DamRainVar","Sex","LayYear","survival","PeriodStart","PeriodEnd","age","dam","sire","dam_age","sire_age","Dam_RainWindow","yearlytq_corr","yearlytq","helpers_cat","offspring","MeanAgeParent","DeltaAgeParent","lifespan","GroupSize","HelpersF","GenContF2","GenContD2","GenContS2","Focal_RainVarBlood","lGCF","lGCD","lGCS","logratD","logratS","Sire_RainVar","Dam_RainVar","Range_FD","group"
"1",1998,"929",0.00723249842791247,-0.00722793763477374,0.0414373503007668,0.0342048518728543,0,0.0486652879355406,-0.667902571199061,-0.158979911197254,-0.272931792016073,147.077777777778,21564.635097918,10644.0812583286,"1",1994,0,1998.1,1998.9,-0.855535356406911,"199","609",0.9357303184674,0.912328767123427,126.388888888889,54889.100565,54889.100565,"0",1,6.5,-2.5,0.328674287844433,-0.814865593605218,-0.482235448934286,0.0414373503007668,0.0342048518728543,0.0486652879355406,0.552625426518806,-0.805802351136987,-3.37538777734852,-3.02278927643485,0.766406454310138,-0.2238138932938,-1.76226834398451,-1.67190260420137,"Medium","Medium"
"2",1999,"929",0.00723249842791247,-0.00722793763477374,0.0414373503007668,0.0342048518728543,0,0.0486652879355406,-0.667902571199061,-0.158979911197254,-0.272931792016073,147.077777777778,21564.635097918,10644.0812583286,"1",1994,0,1999.1,1999.9,-0.511151869041847,"199","609",0.9357303184674,0.912328767123427,126.388888888889,34872.118155,34872.118155,"0",0,6.5,-1.5,0.328674287844433,-0.814865593605218,-0.482235448934286,0.0414373503007668,0.0342048518728543,0.0486652879355406,0.552625426518806,-0.805802351136987,-3.37538777734852,-3.02278927643485,0.766406454310138,-0.2238138932938,-1.76226834398451,-1.67190260420137,"Medium","Medium"
"3",1999,"1156",0.0101214172180495,0.016656859663135,0.0668976801562357,0.0567762629381862,1,0.0502408204931007,-0.0988181859866446,-0.585167942073054,1.30529555781074,115.133333333333,6837.80397435898,21115.4138009755,"1",1996,0,1999.1,1999.9,-1.19991884377197,"454","216",-0.421407738753988,7.94262295081967,107.544444444444,72569.068625,72569.068625,"1",2,3.5,-0.5,-0.964842575701811,-0.814865593605218,-0.482235448934286,0.0668976801562357,0.0567762629381862,0.0502408204931007,-0.990461107985461,1.03751480325373,-2.86863694661994,-2.9909274254846,0.695418276359144,0.874411050586626,-1.74820477302454,-1.71299049545239,"Medium","Medium"
"4",1999,"1179",0.000705126723264032,0.0362936187607813,0.0896354395071466,0.0889303127838826,1,0.0533418207463652,0.487697612423675,-0.458299302782276,-0.0957403629947191,223.033333333333,10279.8033333333,10875.7181096516,"1",1997,0,1999.1,1999.9,-1.54430233113704,"297","836",1.22487622039581,2.90958904109584,131.377777777778,42651.19378,42651.19378,"1",1,2,0,-1.69026081674464,-0.814865593605218,-0.482235448934286,0.0896354395071466,0.0889303127838826,0.0533418207463652,-0.629806272057526,2.16350720378167,-2.4199022183848,-2.93103462608334,0.296246489078178,1.44595812897666,-2.33774494477482,-1.78195780947523,"Medium","Medium"
"5",1999,"1370",-0.0158283104849587,-0.0148791675822428,0.0353616529108579,0.0511899633958166,1,0.0502408204931007,-0.0988181859866446,0.354525469650688,0.451786077827943,312.122222222222,27792.4021337127,16554.2479914665,"1",1997,0,1999.1,1999.9,-1.54430233113704,"308","216",0.722729600676726,8.98785837263267,76.6111111111111,48861.65155,48861.65155,"1",1,4.5,-2.5,-0.814918323845879,2.0107434272238,2.06959380167631,0.0353616529108579,0.0511899633958166,0.0502408204931007,1.20517473412857,-1.41598555660582,-2.97221179357802,-2.9909274254846,-0.669581687971173,-0.691518933964888,-1.84839739475275,-1.71112259870404,"High","High"
"6",2000,"929",0.00723249842791247,-0.00722793763477374,0.0414373503007668,0.0342048518728543,0,0.0486652879355406,-0.667902571199061,-0.158979911197254,-0.272931792016073,147.077777777778,21564.635097918,10644.0812583286,"1",1994,0,2000.1,2000.9,-0.166768381676783,"199","609",0.9357303184674,0.912328767123427,126.388888888889,NA,NA,"0",1,6.5,-0.5,0.328674287844433,-0.814865593605218,-0.482235448934286,0.0414373503007668,0.0342048518728543,0.0486652879355406,0.552625426518806,-0.805802351136987,-3.37538777734852,-3.02278927643485,0.766406454310138,-0.2238138932938,-1.76226834398451,-1.67190260420137,"Medium","Medium"
"7",2000,"1156",0.0101214172180495,0.016656859663135,0.0668976801562357,0.0567762629381862,1,0.0502408204931007,-0.0988181859866446,-0.585167942073054,1.30529555781074,115.133333333333,6837.80397435898,21115.4138009755,"1",1996,0,2000.1,2000.9,-0.855535356406911,"454","216",-0.421407738753988,7.94262295081967,107.544444444444,NA,NA,"1",0,3.5,0.5,-0.964842575701811,-0.814865593605218,-0.482235448934286,0.0668976801562357,0.0567762629381862,0.0502408204931007,-0.990461107985461,1.03751480325373,-2.86863694661994,-2.9909274254846,0.695418276359144,0.874411050586626,-1.74820477302454,-1.71299049545239,"Medium","Medium"
"8",2000,"1179",0.000705126723264032,0.0362936187607813,0.0896354395071466,0.0889303127838826,1,0.0533418207463652,0.487697612423675,-0.458299302782276,-0.0957403629947191,223.033333333333,10279.8033333333,10875.7181096516,"1",1997,0,2000.1,2000.9,-1.19991884377197,"297","836",1.22487622039581,2.90958904109584,131.377777777778,NA,NA,"1",0,2,1,-1.69026081674464,-0.814865593605218,-0.482235448934286,0.0896354395071466,0.0889303127838826,0.0533418207463652,-0.629806272057526,2.16350720378167,-2.4199022183848,-2.93103462608334,0.296246489078178,1.44595812897666,-2.33774494477482,-1.78195780947523,"Medium","Medium"
"9",2000,"1279",0.031876751789991,0.030424000182615,0.0758966351679445,0.0440198833779534,0,0.0454726349853294,-0.742214475435748,-0.887412614917588,-1.0913114983926,147.188888888889,28633.7342307692,17575.8127694236,"1",1996,0,2000.1,2000.9,-1.19991884377197,"522","1174",-0.517202113998563,0.658978965491542,81.3,NA,NA,"0",1,2.5,0.5,-1.65530090151366,-0.814865593605218,-0.482235448934286,0.0758966351679445,0.0440198833779534,0.0454726349853294,1.29333003509738,1.52321501888124,-3.12311385218416,-3.09064456285,1.66858769586744,1.42933323672888,-2.46265493266534,-2.16399669214393,"Medium","Medium"
"10",2000,"1370",-0.0158283104849587,-0.0148791675822428,0.0353616529108579,0.0511899633958166,1,0.0502408204931007,-0.0988181859866446,0.354525469650688,0.451786077827943,312.122222222222,27792.4021337127,16554.2479914665,"1",1997,0,2000.1,2000.9,-1.19991884377197,"308","216",0.722729600676726,8.98785837263267,76.6111111111111,NA,NA,"1",1,4.5,-1.5,-0.814918323845879,2.0107434272238,2.06959380167631,0.0353616529108579,0.0511899633958166,0.0502408204931007,1.20517473412857,-1.41598555660582,-2.97221179357802,-2.9909274254846,-0.669581687971173,-0.691518933964888,-1.84839739475275,-1.71112259870404,"High","High"
