BirdID,GroupSize,HelpersF,PeriodYear
1222,3,0,2003
1222,3,0,2004
454,4,1,1996
454,4,1,1995
823,4,1,1998
823,4,1,1997
823,4,1,1995
823,4,1,1996
169,2,0,1998
169,2,0,1996
169,2,0,1997
169,2,0,1995
561,2,0,1996
561,2,0,1999
561,2,0,2007
561,2,0,1998
561,2,0,1995
561,2,0,1997
561,2,0,2010
561,2,0,2009
561,2,0,2008
561,2,0,2000
561,2,0,2006
561,2,0,2001
561,2,0,2005
561,2,0,2003
561,2,0,2002
561,2,0,2004
443,4,0,1999
443,4,0,1997
443,4,0,1995
443,4,0,1998
443,4,0,1996
469,3,1,1998
469,3,1,1995
469,3,1,1996
469,3,1,1997
172,2,0,1995
172,2,0,1996
502,3,0,1997
502,3,0,1999
502,3,0,2000
502,3,0,1998
502,3,0,1996
502,3,0,1995
171,4,0,1996
171,4,0,1997
171,4,0,1995
441,4,0,1996
441,4,0,1995
441,4,0,1997
442,4,1,1995
442,4,1,1996
199,4,1,2000
199,4,1,1998
199,4,1,1995
199,4,1,1999
199,4,1,1996
199,4,1,1997
217,2,0,1996
217,2,0,1995
457,3,0,2000
457,3,0,2001
457,3,0,1996
457,3,0,1997
457,3,0,1998
457,3,0,2002
457,3,0,1995
457,3,0,1999
832,2,0,1996
832,2,0,1995
853,3,0,1999
853,3,0,2000
853,3,0,1995
853,3,0,1998
853,3,0,1997
853,3,0,1996
853,3,0,2005
853,3,0,2007
853,3,0,2001
853,3,0,2003
853,3,0,2004
853,3,0,2006
853,3,0,2002
441,4,0,2000
441,4,0,1996
441,4,0,1995
441,4,0,1998
441,4,0,1999
441,4,0,2001
441,4,0,1997
441,4,0,2002
840,4,1,1995
840,4,1,1996
511,3,0,1996
511,3,0,1995
454,4,1,1997
454,4,1,1999
454,4,1,2006
454,4,1,2005
454,4,1,1996
454,4,1,2004
454,4,1,1998
454,4,1,2002
454,4,1,2001
454,4,1,1995
454,4,1,2007
454,4,1,2003
454,4,1,2000
308,4,0,1996
308,4,0,1995
608,5,1,1998
608,5,1,1996
608,5,1,1997
459,5,0,1996
459,5,0,1995
543,3,0,1998
543,3,0,1995
543,3,0,1996
543,3,0,1997
543,3,0,2000
543,3,0,1999
217,3,1,2001
217,3,1,2000
217,3,1,1999
217,3,1,2005
217,3,1,1997
217,3,1,2003
217,3,1,2002
217,3,1,2009
217,3,1,2004
217,3,1,1998
217,3,1,1996
217,3,1,2007
217,3,1,2008
217,3,1,2010
217,3,1,2006
459,5,1,1997
459,5,1,1996
168,4,1,1996
168,4,1,2005
168,4,1,1998
168,4,1,2010
168,4,1,1997
168,4,1,2007
168,4,1,2009
168,4,1,2004
168,4,1,1999
168,4,1,2001
168,4,1,2006
168,4,1,2003
168,4,1,2002
168,4,1,2008
168,4,1,2000
827,4,0,2000
827,4,0,1999
827,4,0,1998
827,4,0,2001
827,4,0,1996
827,4,0,1997
297,3,1,1996
297,3,1,1997
542,3,0,1997
542,3,0,1995
542,3,0,1998
542,3,0,1996
1043,2,0,1998
1043,2,0,2001
1043,2,0,2003
1043,2,0,2009
1043,2,0,2007
1043,2,0,2004
1043,2,0,2005
1043,2,0,1997
1043,2,0,1996
1043,2,0,2006
1043,2,0,2010
1043,2,0,2015
1043,2,0,2012
1043,2,0,1999
1043,2,0,2016
1043,2,0,2014
1043,2,0,2008
1043,2,0,2000
1043,2,0,2011
1043,2,0,2002
1043,2,0,2013
503,2,0,2002
503,2,0,2003
503,2,0,1998
503,2,0,2000
503,2,0,2001
503,2,0,1996
503,2,0,1999
503,2,0,1997
500,3,1,2003
500,3,1,2002
500,3,1,1999
500,3,1,1996
500,3,1,2001
500,3,1,2000
500,3,1,1997
500,3,1,1998
858,2,0,1998
858,2,0,1996
858,2,0,1997
872,3,1,1997
872,3,1,1998
872,3,1,2000
872,3,1,2001
872,3,1,2004
872,3,1,1999
872,3,1,2003
872,3,1,2002
872,3,1,1996
675,2,0,1997
675,2,0,1996
675,2,0,1998
595,2,0,1998
595,2,0,1997
595,2,0,1996
835,2,0,1998
835,2,0,1997
835,2,0,1999
835,2,0,1996
528,3,1,1999
528,3,1,1996
528,3,1,1998
528,3,1,1997
528,3,1,2000
163,5,1,1998
163,5,1,1997
163,5,1,2000
163,5,1,1996
163,5,1,1999
542,3,0,1997
542,3,0,1996
542,3,0,1998
542,3,0,1999
199,4,1,2001
199,4,1,1999
199,4,1,2000
199,4,1,2002
